Platform,GameId,Type,Name,GameNameCht,GameNameEn,Enable
Ark,5283,Slot,LionDanceLegi,祥獅獻瑞Legi,Lion Dance Legi,TRUE
Ark,8082,Slot,CashKing,財富大亨,Cash King,TRUE
Ark,1005,Slot,ChaChaCha,水果恰恰恰,ChaChaCha,TRUE
Ark,5290,Slot,FortuneGems,迦羅寶石,FortuneGems,TRUE
Ark,8082,Slot,CandyRush,CandyRush,CandyRush,TRUE
Ark,1016,Slot,Razor,龙巢夺宝,Razor,TRUE
Ark,1017,Slot,WuJinPen,五金炉,WuJinPen,TRUE
Ark,1018,Slot,Zeus,直立式宙斯,Zeus,TRUE

